buying,maint,doors,persons,lug_boot,safety,class
20795,5048,3,four,large,medium,good
5860,3608,2,more,small,low,very good
43158,7658,4,two,medium,medium,very good
49732,7900,4,more,medium,high,acceptable
16284,3670,2,two,medium,high,good
11265,2755,5,two,small,medium,good
21850,1654,5,two,medium,medium,unacceptable
42194,4999,2,four,large,medium,acceptable
26962,6795,2,four,large,low,good
49131,6697,4,more,small,medium,acceptable
21023,2148,5,two,large,medium,very good
46090,6039,2,two,large,medium,good
6685,4699,4,four,small,high,good
5769,8945,5,two,medium,high,acceptable
7433,3057,3,four,medium,low,good
10311,6092,4,two,medium,low,acceptable
42819,598,5,more,small,high,good
44188,2700,5,two,large,high,unacceptable
22568,3461,4,two,medium,high,acceptable
24769,5473,3,four,medium,medium,good
33693,4933,4,two,small,medium,very good
11396,3369,5,two,medium,high,good
32480,1456,2,four,small,medium,very good
46434,8852,2,more,large,medium,very good
30658,6199,4,more,small,low,unacceptable
23942,7444,5,four,small,high,acceptable
23431,4993,2,four,small,high,good
7747,9992,5,four,small,medium,unacceptable
5189,5411,4,four,large,high,good
24118,4487,2,four,large,low,very good
40773,6515,5,more,medium,low,acceptable
6899,1718,2,more,large,low,good
6267,4996,4,four,large,high,good
36551,5235,5,two,medium,high,very good
16394,5055,2,four,large,high,good
8556,9646,4,two,small,high,good
8890,8550,2,four,small,high,very good
46606,3946,2,four,medium,low,unacceptable
35740,1545,3,more,medium,medium,very good
19502,7393,3,two,medium,low,unacceptable
26777,2193,4,two,small,high,acceptable
15627,3936,3,more,large,low,unacceptable
13792,9254,4,more,small,high,unacceptable
48323,6395,3,more,medium,high,acceptable
48021,3854,2,more,large,low,unacceptable
13433,725,4,two,large,high,very good
48001,5393,4,two,small,medium,unacceptable
16016,7522,2,four,medium,high,acceptable
28897,9651,4,four,small,medium,very good
7612,6100,4,more,large,medium,acceptable
28483,8496,3,more,small,high,acceptable
22159,9507,4,more,small,low,good
49974,8183,5,four,medium,medium,good
45994,5142,2,four,medium,low,acceptable
19541,8179,3,four,large,medium,acceptable
40920,8708,3,four,small,high,acceptable
31531,7839,5,four,small,high,good
6585,9935,2,four,small,medium,good
8943,2705,2,four,large,high,unacceptable
28939,1569,3,more,large,medium,unacceptable
24457,3944,4,more,medium,high,acceptable
6021,1560,3,more,medium,low,very good
16653,2827,2,more,medium,high,very good
48573,3920,5,four,small,low,good
18417,801,3,two,small,high,good
45757,1106,2,four,medium,low,good
14692,3670,3,two,small,high,acceptable
11873,1199,4,more,medium,low,very good
10675,5588,3,four,large,medium,unacceptable
5161,9831,3,more,medium,medium,acceptable
42065,690,2,four,large,low,unacceptable
31557,1480,2,more,small,high,unacceptable
38763,3475,2,two,medium,low,acceptable
37606,6602,3,two,small,high,unacceptable
16534,1684,4,two,large,medium,very good
34127,3827,5,four,large,high,unacceptable
45397,3894,5,two,large,medium,very good
30851,8819,2,four,small,high,very good
6016,2316,2,two,small,high,very good
29253,6354,3,two,small,high,good
29276,7209,5,four,small,low,unacceptable
28247,1069,2,four,large,low,acceptable
29300,5942,4,two,large,medium,acceptable
13529,2395,4,four,medium,medium,unacceptable
22262,3233,2,two,medium,low,good
14268,4363,2,four,small,medium,good
26271,7955,5,more,large,low,very good
17185,4514,5,more,large,high,unacceptable
26243,2186,3,more,large,medium,unacceptable
44099,3509,5,more,medium,medium,acceptable
13571,8306,4,more,medium,low,unacceptable
44976,654,4,two,large,medium,good
43044,1909,2,more,large,medium,unacceptable
45774,1284,5,more,large,high,acceptable
7568,8596,3,more,medium,medium,very good
7027,8060,4,more,large,high,acceptable
7695,7843,4,four,large,low,acceptable
10258,7706,3,two,small,medium,very good
27002,6096,3,more,small,high,acceptable
44504,6301,4,more,medium,low,acceptable
38159,3306,4,more,large,medium,unacceptable
18986,1037,3,two,large,low,unacceptable
17666,6486,4,four,small,medium,very good
43660,2341,2,two,medium,low,unacceptable
8561,9216,2,four,small,low,unacceptable
